left,bottom,right,top,CCTV,경사도,공원,관공서,주택가,주차장,POP,gid
129.070999999999998,35.079999999999998,129.072000000000003,35.081000000000003,1,18,0,0,15,0,172.18000000000,1.0
129.068999999999988,35.076999999999998,129.069999999999993,35.078000000000003,0,27,0,0,16,1,209.53000000000,2.0
129.079000000000008,35.067000000000000,129.080000000000013,35.067999999999998,0,38,0,0,25,0,134.95000000000,3.0
129.056999999999988,35.088999999999999,129.057999999999993,35.090000000000003,0,12,0,0,1,0,11.73000000000,4.0
129.064999999999998,35.078000000000003,129.066000000000003,35.079000000000001,0,30,0,0,13,0,199.95000000000,5.0
129.051999999999992,35.091999999999999,129.052999999999997,35.093000000000004,0,5,0,0,30,0,351.33000000000,6.0
129.076999999999998,35.072000000000003,129.078000000000003,35.073000000000000,0,0,0,0,0,0,216.01000000000,7.0
129.062000000000012,35.088000000000001,129.062999999999988,35.088999999999999,0,2,0,0,2,0,681.86000000000,8.0
129.070999999999998,35.082000000000001,129.072000000000003,35.082999999999998,0,15,0,0,7,0,116.97000000000,9.0
129.080000000000013,35.067000000000000,129.080999999999989,35.067999999999998,0,41,0,1,18,0,116.56000000000,10.0
129.056000000000012,35.091999999999999,129.056999999999988,35.093000000000004,0,70,0,0,51,1,220.62000000000,11.0
129.068999999999988,35.078000000000003,129.069999999999993,35.079000000000001,0,51,0,0,29,0,189.74000000000,12.0
129.074000000000012,35.075000000000003,129.074999999999989,35.076000000000001,0,29,2,0,0,0,159.27000000000,13.0
129.040999999999997,35.084000000000003,129.042000000000002,35.085000000000001,0,121,0,0,60,0,325.48000000000,14.0
129.044999999999987,35.084000000000003,129.045999999999992,35.085000000000001,0,27,0,0,20,0,247.05000000000,15.0
129.050999999999988,35.091000000000001,129.051999999999992,35.091999999999999,0,7,0,0,21,0,293.86000000000,16.0
129.075999999999993,35.082999999999998,129.076999999999998,35.084000000000003,0,7,0,0,0,0,3.48000000000,17.0
129.067000000000007,35.076000000000001,129.068000000000012,35.076999999999998,0,1,0,0,0,0,1020.91000000000,18.0
129.038999999999987,35.081000000000003,129.039999999999992,35.082000000000001,0,1,2,0,0,1,248.39000000000,19.0
129.039999999999992,35.088000000000001,129.040999999999997,35.088999999999999,0,66,0,0,13,1,79.84000000000,20.0
129.061000000000007,35.091999999999999,129.062000000000012,35.093000000000004,0,73,0,0,39,0,313.31000000000,21.0
129.061000000000007,35.088999999999999,129.062000000000012,35.090000000000003,0,67,0,0,38,1,199.75000000000,22.0
129.078000000000003,35.067999999999998,129.079000000000008,35.069000000000003,0,20,0,0,14,0,65.33000000000,23.0
129.055000000000007,35.093000000000004,129.056000000000012,35.094000000000001,1,38,0,0,25,1,120.97000000000,24.0
129.054000000000002,35.096000000000004,129.055000000000007,35.097000000000001,0,2,0,0,0,0,146.63000000000,25.0
129.039999999999992,35.085000000000001,129.040999999999997,35.085999999999999,0,32,0,0,5,0,166.26000000000,26.0
129.032999999999987,35.091999999999999,129.033999999999992,35.093000000000004,0,89,0,0,25,0,122.18000000000,27.0
129.067000000000007,35.088999999999999,129.068000000000012,35.090000000000003,0,12,0,0,3,0,806.87000000000,28.0
129.066000000000003,35.070999999999998,129.067000000000007,35.072000000000003,0,10,0,0,9,0,3.40000000000,29.0
129.048000000000002,35.094000000000001,129.049000000000007,35.094999999999999,0,38,0,0,10,0,5.41000000000,30.0
129.044000000000011,35.090000000000003,129.044999999999987,35.091000000000001,0,62,0,1,38,0,312.26000000000,31.0
129.044000000000011,35.085000000000001,129.044999999999987,35.085999999999999,0,9,0,0,5,0,165.29000000000,32.0
129.054000000000002,35.093000000000004,129.055000000000007,35.094000000000001,0,11,0,0,63,0,332.39000000000,33.0
129.042000000000002,35.090000000000003,129.043000000000006,35.091000000000001,0,57,0,0,26,0,167.95000000000,34.0
129.042000000000002,35.094000000000001,129.043000000000006,35.094999999999999,0,24,0,0,9,0,132.97000000000,35.0
129.038000000000011,35.085000000000001,129.038999999999987,35.085999999999999,0,35,0,0,11,0,202.92000000000,36.0
129.039999999999992,35.091999999999999,129.040999999999997,35.093000000000004,1,50,0,0,8,0,21.72000000000,37.0
129.057999999999993,35.091000000000001,129.058999999999997,35.091999999999999,0,54,0,0,23,0,160.86000000000,38.0
129.067000000000007,35.079999999999998,129.068000000000012,35.081000000000003,0,53,0,0,29,0,225.75000000000,39.0
129.073000000000008,35.082000000000001,129.074000000000012,35.082999999999998,0,10,0,0,11,0,138.88000000000,40.0
129.069999999999993,35.079000000000001,129.070999999999998,35.079999999999998,0,34,0,0,13,0,159.89000000000,41.0
129.076999999999998,35.062000000000005,129.078000000000003,35.063000000000002,0,13,0,0,4,0,50.61000000000,42.0
129.080999999999989,35.067000000000000,129.081999999999994,35.067999999999998,0,39,0,0,14,0,160.20000000000,43.0
129.063999999999993,35.094999999999999,129.064999999999998,35.096000000000004,0,22,0,0,1,0,19.32000000000,44.0
129.080999999999989,35.065000000000005,129.081999999999994,35.066000000000003,0,29,0,0,20,0,131.18000000000,45.0
129.046999999999997,35.082000000000001,129.048000000000002,35.082999999999998,0,46,0,0,11,0,67.09000000000,46.0
129.042000000000002,35.088999999999999,129.043000000000006,35.090000000000003,0,64,0,0,17,0,253.53000000000,47.0
129.067000000000007,35.081000000000003,129.068000000000012,35.082000000000001,0,22,0,0,17,0,341.55000000000,48.0
129.066000000000003,35.079999999999998,129.067000000000007,35.081000000000003,0,40,0,0,31,0,241.38000000000,49.0
129.068999999999988,35.072000000000003,129.069999999999993,35.073000000000000,0,15,0,0,3,0,96.28000000000,50.0
