left,bottom,right,top,CCTV,경사도,공원,관공서,주택가,주차장,POP,gid
129.120000000000005,35.161999999999999,129.121000000000009,35.162999999999997,1,55,0,0,42,0,361.30000000000,1.000
129.108000000000004,35.153999999999996,129.109000000000009,35.155000000000001,0,8,0,0,0,0,208.99000000000,2.000
129.117999999999995,35.169999999999995,129.119000000000000,35.170999999999999,2,70,0,0,47,0,266.14000000000,3.000
129.111999999999995,35.155000000000001,129.113000000000000,35.155999999999999,0,14,0,0,2,0,102.38000000000,4.000
129.121000000000009,35.166999999999994,129.122000000000014,35.167999999999999,0,3,0,0,0,0,27.77000000000,5.000
129.114000000000004,35.175999999999995,129.115000000000009,35.177000000000000,1,13,0,0,9,0,8.42000000000,6.000
129.123000000000019,35.165999999999997,129.123999999999995,35.166999999999994,0,6,0,0,0,0,175.67000000000,7.000
129.094999999999999,35.166999999999994,129.096000000000004,35.167999999999999,0,0,0,0,0,0,85.92000000000,8.000
129.105000000000018,35.161999999999999,129.105999999999995,35.162999999999997,0,24,0,0,10,0,369.08000000000,9.000
129.119000000000000,35.164000000000001,129.120000000000005,35.164999999999999,0,52,0,0,37,0,126.42000000000,10.000
129.117999999999995,35.161000000000001,129.119000000000000,35.161999999999999,1,48,0,0,29,0,241.34000000000,11.000
129.104000000000013,35.168999999999997,129.105000000000018,35.169999999999995,0,51,0,0,27,0,249.67000000000,12.000
129.108000000000004,35.172999999999995,129.109000000000009,35.173999999999999,0,38,0,0,13,0,101.69000000000,13.000
129.110000000000014,35.146999999999998,129.111000000000018,35.147999999999996,0,20,0,0,1,0,14.91000000000,14.000
129.109000000000009,35.147999999999996,129.110000000000014,35.149000000000001,0,22,0,0,13,0,238.11000000000,15.000
129.098000000000013,35.173999999999999,129.099000000000018,35.174999999999997,0,13,0,0,9,0,334.74000000000,16.000
129.114000000000004,35.147999999999996,129.115000000000009,35.149000000000001,0,26,0,0,1,0,37.32000000000,17.000
129.109000000000009,35.169999999999995,129.110000000000014,35.170999999999999,0,40,0,0,21,0,31.90000000000,18.000
129.116000000000014,35.150999999999996,129.117000000000019,35.152000000000001,0,20,0,0,0,1,5.32000000000,19.000
129.115000000000009,35.150999999999996,129.116000000000014,35.152000000000001,0,14,0,0,2,0,64.76000000000,20.000
129.111000000000018,35.165999999999997,129.111999999999995,35.166999999999994,1,49,0,0,38,0,356.08000000000,21.000
129.105999999999995,35.143000000000001,129.106999999999999,35.143999999999998,0,26,0,0,17,0,258.63000000000,22.000
129.103000000000009,35.180000000000000,129.104000000000013,35.180999999999997,1,0,0,0,28,0,437.33000000000,23.000
129.114000000000004,35.159999999999997,129.115000000000009,35.161000000000001,1,45,0,0,22,0,113.30000000000,24.000
129.120000000000005,35.159999999999997,129.121000000000009,35.161000000000001,2,31,0,0,15,0,105.38000000000,25.000
129.104000000000013,35.169999999999995,129.105000000000018,35.170999999999999,0,51,0,0,42,0,234.11000000000,26.000
129.126000000000005,35.158999999999999,129.127000000000010,35.159999999999997,0,39,0,0,15,0,127.58000000000,27.000
129.100999999999999,35.170999999999999,129.102000000000004,35.171999999999997,0,29,0,0,21,0,191.28000000000,28.000
129.111000000000018,35.164000000000001,129.111999999999995,35.164999999999999,1,47,0,0,28,0,205.49000000000,29.000
129.113000000000000,35.153999999999996,129.114000000000004,35.155000000000001,0,31,0,0,24,0,351.75000000000,30.000
129.097000000000008,35.173999999999999,129.098000000000013,35.174999999999997,0,50,0,0,40,0,276.44000000000,31.000
129.117000000000019,35.156999999999996,129.117999999999995,35.158000000000001,0,18,0,0,14,0,47.88000000000,32.000
129.104000000000013,35.161000000000001,129.105000000000018,35.161999999999999,0,9,0,0,0,0,85.66000000000,33.000
129.111000000000018,35.174999999999997,129.111999999999995,35.175999999999995,0,32,0,0,18,0,156.78000000000,34.000
129.108000000000004,35.137000000000000,129.109000000000009,35.137999999999998,0,2,0,0,0,0,9.55000000000,35.000
129.111000000000018,35.141999999999996,129.111999999999995,35.143000000000001,0,5,0,0,2,0,198.63000000000,36.000
129.117999999999995,35.177999999999997,129.119000000000000,35.178999999999995,0,0,0,0,0,0,282.14000000000,37.000
129.120000000000005,35.164000000000001,129.121000000000009,35.164999999999999,0,15,0,0,11,0,322.41000000000,38.000
129.126000000000005,35.158000000000001,129.127000000000010,35.158999999999999,1,34,0,0,24,0,262.89000000000,39.000
129.115000000000009,35.155000000000001,129.116000000000014,35.155999999999999,0,4,0,0,2,0,269.03000000000,40.000
129.114000000000004,35.174999999999997,129.115000000000009,35.175999999999995,0,5,0,0,0,0,72.44000000000,41.000
129.117000000000019,35.158000000000001,129.117999999999995,35.158999999999999,0,47,0,0,39,0,300.50000000000,42.000
129.117000000000019,35.174999999999997,129.117999999999995,35.175999999999995,1,37,0,0,16,0,337.74000000000,43.000
129.099000000000018,35.172999999999995,129.099999999999994,35.173999999999999,1,40,0,0,24,0,232.58000000000,44.000
129.106999999999999,35.161000000000001,129.108000000000004,35.161999999999999,0,1,0,0,0,0,556.23000000000,45.000
129.120000000000005,35.164999999999999,129.121000000000009,35.165999999999997,0,3,0,0,0,0,43.79000000000,46.000
129.105999999999995,35.169999999999995,129.106999999999999,35.170999999999999,0,62,0,0,48,0,269.93000000000,47.000
129.117999999999995,35.173999999999999,129.119000000000000,35.174999999999997,1,20,0,0,10,0,393.53000000000,48.000
129.111999999999995,35.168999999999997,129.113000000000000,35.169999999999995,0,24,0,0,9,0,119.10000000000,49.000
129.117000000000019,35.168999999999997,129.117999999999995,35.169999999999995,1,51,0,0,25,0,109.99000000000,50.000
129.113000000000000,35.175999999999995,129.114000000000004,35.177000000000000,0,34,0,0,27,0,172.91000000000,51.000
129.098000000000013,35.170999999999999,129.099000000000018,35.171999999999997,1,65,0,0,19,0,77.54000000000,52.000
129.115000000000009,35.149999999999999,129.116000000000014,35.150999999999996,0,13,0,0,0,0,5.32000000000,53.000
129.110000000000014,35.175999999999995,129.111000000000018,35.177000000000000,0,0,0,0,0,0,85.72000000000,54.000
129.099000000000018,35.174999999999997,129.099999999999994,35.175999999999995,0,48,0,0,29,0,246.21000000000,55.000
129.132000000000005,35.155999999999999,129.133000000000010,35.156999999999996,0,1,0,0,0,0,4.09000000000,56.000
129.111999999999995,35.174999999999997,129.113000000000000,35.175999999999995,0,73,0,0,62,0,265.46000000000,57.000
129.113000000000000,35.155000000000001,129.114000000000004,35.155999999999999,0,26,0,1,4,0,93.24000000000,58.000
129.111999999999995,35.161000000000001,129.113000000000000,35.161999999999999,0,56,0,0,24,0,90.92000000000,59.000
129.117999999999995,35.165999999999997,129.119000000000000,35.166999999999994,0,29,0,0,17,0,93.95000000000,60.000
129.114000000000004,35.161999999999999,129.115000000000009,35.162999999999997,0,27,0,0,5,0,317.01000000000,61.000
129.115000000000009,35.167999999999999,129.116000000000014,35.168999999999997,0,35,0,0,10,0,38.10000000000,62.000
129.113000000000000,35.137000000000000,129.114000000000004,35.137999999999998,0,1,0,0,0,0,5.32000000000,63.000
129.096000000000004,35.170999999999999,129.097000000000008,35.171999999999997,0,29,0,0,20,0,49.86000000000,64.000
129.110000000000014,35.149999999999999,129.111000000000018,35.150999999999996,0,9,0,0,0,0,217.93000000000,65.000
129.105999999999995,35.138999999999996,129.106999999999999,35.140000000000001,0,31,0,0,8,0,80.67000000000,66.000
