left,bottom,right,top,공원,주차장,CCTV,관공서,경사도,주택가,POP,gid
129.025000000000006,35.101999999999997,129.026000000000010,35.103000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,52.000000000000000,9.000000000000000,308.37000000000,1.000
129.025000000000006,35.104999999999997,129.026000000000010,35.106000000000002,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,128.000000000000000,56.000000000000000,168.13000000000,2.000
129.026000000000010,35.107999999999997,129.027000000000015,35.109000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,76.000000000000000,22.000000000000000,270.94000000000,3.000
129.036000000000001,35.100999999999999,129.037000000000006,35.101999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,34.000000000000000,2.000000000000000,32.75000000000,4.000
129.031000000000006,35.104999999999997,129.032000000000011,35.106000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,39.000000000000000,5.000000000000000,73.37000000000,5.000
129.025000000000006,35.098999999999997,129.026000000000010,35.100000000000001,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,72.000000000000000,5.000000000000000,49.17000000000,6.000
129.029000000000025,35.110999999999997,129.030000000000001,35.112000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,35.000000000000000,5.000000000000000,118.34000000000,7.000
129.025000000000006,35.107999999999997,129.026000000000010,35.109000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,39.000000000000000,160.73000000000,8.000
129.030000000000001,35.106999999999999,129.031000000000006,35.107999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,153.000000000000000,66.000000000000000,655.96000000000,9.000
129.033000000000015,35.103999999999999,129.034000000000020,35.104999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,3.000000000000000,155.06000000000,10.000
129.033000000000015,35.100999999999999,129.034000000000020,35.101999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,23.000000000000000,3.000000000000000,22.40000000000,11.000
129.029000000000025,35.097000000000001,129.030000000000001,35.097999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,41.000000000000000,6.000000000000000,22.00000000000,12.000
129.032000000000011,35.113000000000000,129.033000000000015,35.113999999999997,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,25.000000000000000,20.000000000000000,932.91000000000,13.000
129.034000000000020,35.097000000000001,129.035000000000025,35.097999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,79.000000000000000,10.000000000000000,47.97000000000,14.000
129.028000000000020,35.097000000000001,129.029000000000025,35.097999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,0.000000000000000,22.24000000000,15.000
129.031000000000006,35.106000000000002,129.032000000000011,35.106999999999999,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,96.000000000000000,17.000000000000000,170.27000000000,16.000
129.032000000000011,35.106000000000002,129.033000000000015,35.106999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,26.000000000000000,5.000000000000000,225.44000000000,17.000
129.032000000000011,35.106999999999999,129.033000000000015,35.107999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,1.000000000000000,68.33000000000,18.000
129.021000000000015,35.101999999999997,129.022000000000020,35.103000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,39.000000000000000,8.000000000000000,85.44000000000,19.000
129.024000000000001,35.107999999999997,129.025000000000006,35.109000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,77.000000000000000,24.000000000000000,181.00000000000,20.000
129.035000000000025,35.109999999999999,129.036000000000001,35.110999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,103.000000000000000,29.000000000000000,236.00000000000,21.000
129.032000000000011,35.110999999999997,129.033000000000015,35.112000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,156.000000000000000,54.000000000000000,495.21000000000,22.000
129.023000000000025,35.104999999999997,129.024000000000001,35.106000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,84.000000000000000,25.000000000000000,325.72000000000,23.000
129.029000000000025,35.113000000000000,129.030000000000001,35.113999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,40.000000000000000,0.000000000000000,371.26000000000,24.000
129.023000000000025,35.103999999999999,129.024000000000001,35.104999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,76.000000000000000,27.000000000000000,176.07000000000,25.000
129.029000000000025,35.101999999999997,129.030000000000001,35.103000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,80.000000000000000,6.000000000000000,86.93000000000,26.000
129.029000000000025,35.112000000000002,129.030000000000001,35.113000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,402.42000000000,27.000
129.023000000000025,35.100000000000001,129.024000000000001,35.100999999999999,0.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,33.000000000000000,6.000000000000000,69.39000000000,28.000
129.021000000000015,35.100999999999999,129.022000000000020,35.101999999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,4.000000000000000,5.34000000000,29.000
129.021000000000015,35.104999999999997,129.022000000000020,35.106000000000002,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,56.000000000000000,24.000000000000000,207.87000000000,30.000
