left,bottom,right,top,CCTV,공원,경사도,관공서,주차장,주택가,gid,POP
129.037999999999982,35.216000000000001,129.038999999999987,35.216999999999999,0.000000000000000,0.000000000000000,56.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3287.000,256.47000000000
129.014999999999986,35.210999999999999,129.015999999999991,35.211999999999996,0.000000000000000,0.000000000000000,33.000000000000000,0.000000000000000,0.000000000000000,27.000000000000000,1349.000,311.01000000000
129.015999999999991,35.238000000000000,129.016999999999996,35.238999999999997,0.000000000000000,0.000000000000000,54.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1463.000,111.00000000000
129.004999999999995,35.204999999999998,129.006000000000000,35.205999999999996,0.000000000000000,0.000000000000000,63.000000000000000,0.000000000000000,0.000000000000000,50.000000000000000,596.000,278.67000000000
129.013999999999982,35.234999999999999,129.014999999999986,35.235999999999997,0.000000000000000,0.000000000000000,36.000000000000000,0.000000000000000,0.000000000000000,15.000000000000000,1286.000,173.45000000000
129.016999999999996,35.210000000000001,129.018000000000001,35.210999999999999,0.000000000000000,2.000000000000000,16.000000000000000,0.000000000000000,0.000000000000000,16.000000000000000,1523.000,171.36000000000
129.007000000000005,35.207000000000001,129.007999999999981,35.207999999999998,1.000000000000000,0.000000000000000,45.000000000000000,0.000000000000000,0.000000000000000,25.000000000000000,730.000,212.38000000000
129.044999999999987,35.210000000000001,129.045999999999992,35.210999999999999,0.000000000000000,0.000000000000000,16.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,3778.000,43.52000000000
129.037000000000006,35.211999999999996,129.037999999999982,35.213000000000001,0.000000000000000,0.000000000000000,25.000000000000000,0.000000000000000,0.000000000000000,9.000000000000000,3205.000,151.20000000000
129.002999999999986,35.207000000000001,129.003999999999991,35.207999999999998,0.000000000000000,0.000000000000000,30.000000000000000,0.000000000000000,0.000000000000000,18.000000000000000,477.000,235.01000000000
129.034999999999997,35.214999999999996,129.036000000000001,35.216000000000001,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3051.000,515.68000000000
129.034999999999997,35.216000000000001,129.036000000000001,35.216999999999999,0.000000000000000,1.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,3052.000,258.65000000000
129.045999999999992,35.210999999999999,129.046999999999997,35.211999999999996,0.000000000000000,0.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3839.000,13.74000000000
129.031000000000006,35.213999999999999,129.031999999999982,35.214999999999996,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,7.000000000000000,2728.000,293.75000000000
129.001000000000005,35.199999999999996,129.001999999999981,35.201000000000001,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,358.000,9.34000000000
129.020999999999987,35.241000000000000,129.021999999999991,35.241999999999997,0.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1909.000,9.24000000000
129.034999999999997,35.213000000000001,129.036000000000001,35.213999999999999,0.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3049.000,11.11000000000
129.019999999999982,35.262999999999998,129.020999999999987,35.263999999999996,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1842.000,890.28000000000
129.009999999999991,35.244999999999997,129.010999999999996,35.245999999999995,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,981.000,1155.23000000000
129.018000000000001,35.259999999999998,129.019000000000005,35.260999999999996,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1661.000,213.49000000000
129.019999999999982,35.213999999999999,129.020999999999987,35.214999999999996,0.000000000000000,0.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,6.000000000000000,1793.000,1241.05000000000
129.019000000000005,35.216999999999999,129.019999999999982,35.217999999999996,0.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1707.000,498.10000000000
129.016999999999996,35.238000000000000,129.018000000000001,35.238999999999997,0.000000000000000,0.000000000000000,44.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1551.000,82.07000000000
129.044999999999987,35.208999999999996,129.045999999999992,35.210000000000001,0.000000000000000,0.000000000000000,24.000000000000000,0.000000000000000,0.000000000000000,22.000000000000000,3777.000,259.81000000000
129.019000000000005,35.238999999999997,129.019999999999982,35.239999999999995,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1729.000,26.55000000000
129.000000000000000,35.207000000000001,129.001000000000005,35.207999999999998,0.000000000000000,0.000000000000000,32.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,311.000,278.12000000000
129.003999999999991,35.199999999999996,129.004999999999995,35.201000000000001,0.000000000000000,0.000000000000000,41.000000000000000,0.000000000000000,0.000000000000000,29.000000000000000,529.000,183.55000000000
129.027999999999992,35.213000000000001,129.028999999999996,35.213999999999999,0.000000000000000,0.000000000000000,43.000000000000000,0.000000000000000,0.000000000000000,34.000000000000000,2480.000,182.14000000000
129.003999999999991,35.198000000000000,129.004999999999995,35.198999999999998,0.000000000000000,0.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,527.000,79.36000000000
129.013999999999982,35.225999999999999,129.014999999999986,35.226999999999997,0.000000000000000,0.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1277.000,307.94000000000
