left,bottom,right,top,경사도,공원,관공서,주차장,POP,주택가,gid,CCTV
128.967999999999989,35.109000000000002,128.968999999999994,35.109999999999999,34.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,443.69000000000,19.000000000000000,1.000,0.000000000000000
128.965000000000003,35.106000000000002,128.965999999999980,35.106999999999999,12.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.63000000000,10.000000000000000,2.000,0.000000000000000
128.972999999999985,35.076999999999998,128.973999999999990,35.078000000000003,31.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,148.10000000000,22.000000000000000,3.000,0.000000000000000
128.957999999999998,35.079000000000001,128.959000000000003,35.079999999999998,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,38.76000000000,4.000000000000000,4.000,0.000000000000000
128.984999999999985,35.070999999999998,128.985999999999990,35.072000000000003,20.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,42.77000000000,0.000000000000000,5.000,0.000000000000000
128.956999999999994,35.073999999999998,128.957999999999998,35.075000000000003,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.23000000000,2.000000000000000,6.000,0.000000000000000
128.985999999999990,35.067999999999998,128.986999999999995,35.069000000000003,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,42.77000000000,0.000000000000000,7.000,0.000000000000000
129.008999999999986,35.099000000000004,129.009999999999991,35.100000000000001,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,36.32000000000,16.000000000000000,8.000,0.000000000000000
128.971999999999980,35.091000000000001,128.972999999999985,35.091999999999999,29.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,241.14000000000,15.000000000000000,9.000,0.000000000000000
128.977000000000004,35.057000000000002,128.977999999999980,35.058000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16.50000000000,0.000000000000000,10.000,0.000000000000000
128.975999999999999,35.051000000000002,128.977000000000004,35.052000000000000,3.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.26000000000,0.000000000000000,11.000,0.000000000000000
128.973999999999990,35.052000000000000,128.974999999999994,35.052999999999997,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,149.19000000000,0.000000000000000,12.000,0.000000000000000
128.954999999999984,35.088999999999999,128.955999999999989,35.090000000000003,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,21.36000000000,8.000000000000000,13.000,0.000000000000000
128.975999999999999,35.072000000000003,128.977000000000004,35.073000000000000,15.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.46000000000,6.000000000000000,14.000,0.000000000000000
128.959999999999980,35.091000000000001,128.960999999999984,35.091999999999999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.68000000000,2.000000000000000,15.000,0.000000000000000
128.979999999999990,35.078000000000003,128.980999999999995,35.079000000000001,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,44.18000000000,9.000000000000000,16.000,0.000000000000000
128.986999999999995,35.097000000000001,128.988000000000000,35.097999999999999,47.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,226.19000000000,36.000000000000000,17.000,0.000000000000000
128.996999999999986,35.090000000000003,128.997999999999990,35.091000000000001,23.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,46.41000000000,11.000000000000000,18.000,0.000000000000000
128.997999999999990,35.106000000000002,128.998999999999995,35.106999999999999,49.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,210.61000000000,5.000000000000000,19.000,0.000000000000000
128.989000000000004,35.094999999999999,128.989999999999981,35.096000000000004,19.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,853.25000000000,15.000000000000000,20.000,1.000000000000000
129.004999999999995,35.087000000000003,129.006000000000000,35.088000000000001,22.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.65000000000,10.000000000000000,21.000,0.000000000000000
129.009999999999991,35.079000000000001,129.010999999999996,35.079999999999998,24.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,382.88000000000,8.000000000000000,22.000,0.000000000000000
128.992999999999995,35.100999999999999,128.994000000000000,35.102000000000004,78.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,404.84000000000,52.000000000000000,23.000,0.000000000000000
129.009999999999991,35.081000000000003,129.010999999999996,35.082000000000001,47.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,341.04000000000,34.000000000000000,24.000,0.000000000000000
129.006000000000000,35.091000000000001,129.007000000000005,35.091999999999999,24.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,34.44000000000,22.000000000000000,25.000,1.000000000000000
128.984999999999985,35.103000000000002,128.985999999999990,35.103999999999999,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,126.73000000000,13.000000000000000,26.000,0.000000000000000
128.967999999999989,35.058999999999997,128.968999999999994,35.060000000000002,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,295.34000000000,4.000000000000000,27.000,0.000000000000000
128.979999999999990,35.063000000000002,128.980999999999995,35.064000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,312.87000000000,4.000000000000000,28.000,0.000000000000000
128.965000000000003,35.096000000000004,128.965999999999980,35.097000000000001,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,232.51000000000,0.000000000000000,29.000,0.000000000000000
128.996999999999986,35.103000000000002,128.997999999999990,35.103999999999999,31.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,281.52000000000,12.000000000000000,30.000,0.000000000000000
