left,bottom,right,top,CCTV,경사도,공원,관공서,주택가,주차장,POP,gid
129.033999999999992,35.121000000000002,129.034999999999997,35.122000000000007,0,39,0,0,29,0,5.59000000000,1.000
129.044999999999987,35.132000000000005,129.045999999999992,35.133000000000003,0,212,0,0,54,0,465.87000000000,2.000
129.048000000000002,35.130000000000003,129.049000000000007,35.131000000000007,0,94,0,0,25,0,80.49000000000,3.000
129.038000000000011,35.130000000000003,129.038999999999987,35.131000000000007,0,42,0,0,15,0,64.89000000000,4.000
129.038999999999987,35.129000000000005,129.039999999999992,35.130000000000003,0,58,0,0,34,0,315.43000000000,5.000
129.038000000000011,35.131000000000007,129.038999999999987,35.132000000000005,0,16,1,0,4,0,111.10000000000,6.000
129.055000000000007,35.131000000000007,129.056000000000012,35.132000000000005,1,73,0,0,14,0,1207.53000000000,7.000
129.048000000000002,35.130000000000003,129.049000000000007,35.131000000000007,0,94,0,0,25,0,145.15000000000,8.000
129.054000000000002,35.139000000000003,129.055000000000007,35.140000000000001,1,162,0,0,47,0,245.71000000000,9.000
129.058999999999997,35.135000000000005,129.060000000000002,35.136000000000003,0,66,0,1,6,0,55.72000000000,10.000
129.060000000000002,35.138000000000005,129.061000000000007,35.139000000000003,0,23,0,0,0,0,48.06000000000,11.000
129.044999999999987,35.145000000000003,129.045999999999992,35.146000000000001,0,4,0,0,1,0,16.84000000000,12.000
129.048000000000002,35.144000000000005,129.049000000000007,35.145000000000003,0,14,0,0,1,0,5.36000000000,13.000
129.045999999999992,35.124000000000002,129.046999999999997,35.125000000000007,0,5,0,0,0,1,3.52000000000,14.000
129.061000000000007,35.138000000000005,129.062000000000012,35.139000000000003,0,12,0,0,0,0,12.46000000000,15.000
129.039999999999992,35.120000000000005,129.040999999999997,35.121000000000002,0,118,0,0,25,0,170.24000000000,16.000
129.044000000000011,35.130000000000003,129.044999999999987,35.131000000000007,0,60,0,0,26,0,68.67000000000,17.000
129.040999999999997,35.112000000000002,129.042000000000002,35.113000000000007,0,2,0,0,0,0,7.04000000000,18.000
129.037000000000006,35.113000000000007,129.038000000000011,35.114000000000004,0,61,0,0,16,0,170.60000000000,19.000
129.033999999999992,35.126000000000005,129.034999999999997,35.127000000000002,0,29,0,0,33,0,287.43000000000,20.000
129.038000000000011,35.113000000000007,129.038999999999987,35.114000000000004,0,20,0,0,2,0,51.45000000000,21.000
129.034999999999997,35.115000000000002,129.036000000000001,35.116000000000007,0,129,0,0,56,0,259.51000000000,22.000
129.038999999999987,35.114000000000004,129.039999999999992,35.115000000000002,0,4,0,0,0,0,10.68000000000,23.000
129.048000000000002,35.136000000000003,129.049000000000007,35.137000000000008,0,93,0,0,26,0,211.08000000000,24.000
129.050000000000011,35.139000000000003,129.050999999999988,35.140000000000001,0,48,0,0,14,1,216.82000000000,25.000
129.050999999999988,35.139000000000003,129.051999999999992,35.140000000000001,1,169,0,0,42,0,361.29000000000,26.000
129.051999999999992,35.140000000000001,129.052999999999997,35.141000000000005,0,165,0,0,42,0,389.53000000000,27.000
129.046999999999997,35.133000000000003,129.048000000000002,35.134000000000007,0,57,0,0,42,0,356.19000000000,28.000
129.058999999999997,35.139000000000003,129.060000000000002,35.140000000000001,0,51,0,0,3,0,14.24000000000,29.000
129.061000000000007,35.134000000000007,129.062000000000012,35.135000000000005,0,23,0,0,3,0,5.60000000000,30.000
129.038999999999987,35.120000000000005,129.039999999999992,35.121000000000002,0,101,0,0,24,0,79.98000000000,31.000
129.036000000000001,35.122000000000007,129.037000000000006,35.123000000000005,0,81,0,0,39,1,190.57000000000,32.000
129.034999999999997,35.121000000000002,129.036000000000001,35.122000000000007,0,77,0,0,43,0,302.99000000000,33.000
129.033999999999992,35.120000000000005,129.034999999999997,35.121000000000002,0,113,0,1,44,0,384.25000000000,34.000
129.038000000000011,35.114000000000004,129.038999999999987,35.115000000000002,0,48,0,0,4,0,36.82000000000,35.000
129.050000000000011,35.125000000000007,129.050999999999988,35.126000000000005,0,55,0,0,1,0,84.40000000000,36.000
129.054000000000002,35.138000000000005,129.055000000000007,35.139000000000003,0,65,0,0,22,0,137.22000000000,37.000
129.050999999999988,35.140000000000001,129.051999999999992,35.141000000000005,1,103,0,0,24,1,300.18000000000,38.000
129.038999999999987,35.141000000000005,129.039999999999992,35.142000000000003,0,0,0,0,0,0,67.68000000000,39.000
129.056999999999988,35.137000000000008,129.057999999999993,35.138000000000005,0,34,0,0,0,0,10.98000000000,40.000
129.038000000000011,35.129000000000005,129.038999999999987,35.130000000000003,0,21,0,0,0,0,121.25000000000,41.000
129.033999999999992,35.119000000000007,129.034999999999997,35.120000000000005,0,102,0,0,35,1,312.91000000000,42.000
129.046999999999997,35.130000000000003,129.048000000000002,35.131000000000007,0,53,0,0,24,0,209.29000000000,43.000
129.045999999999992,35.129000000000005,129.046999999999997,35.130000000000003,0,100,0,0,26,0,117.00000000000,44.000
129.061000000000007,35.140000000000001,129.062000000000012,35.141000000000005,0,23,0,0,0,2,3.47000000000,45.000
129.058999999999997,35.132000000000005,129.060000000000002,35.133000000000003,1,155,0,0,1,0,343.60000000000,46.000
129.057999999999993,35.140000000000001,129.058999999999997,35.141000000000005,0,89,0,0,20,0,122.66000000000,47.000
129.045999999999992,35.125000000000007,129.046999999999997,35.126000000000005,0,15,0,0,0,2,5.34000000000,48.000
129.031000000000006,35.120000000000005,129.032000000000011,35.121000000000002,0,2,0,0,2,0,318.94000000000,49.000
129.039999999999992,35.121000000000002,129.040999999999997,35.122000000000007,0,41,0,0,6,0,255.64000000000,50.000
